X   Y
0	 -92.6189 
1	 -97.612 
2	 -96.9264 
3	 -92.7432 
4	 -94.7327 
5	 -89.3626 
6	 -88.0376 
7	 -85.136 
8	 -72.0759 
9	 -74.8667 
10	 -72.2854 
11	 -74.481 
12	 -72.2775 
13	 -52.3943 
14	 -71.2682 
15	 -69.0724 
16	 -64.3784 
17	 -67.1061 
18	 -64.2842 
19	 3.52271 
20	 -63.8058 
21	 -52.7795 
22	 -56.272 
23	 -55.1534 
24	 -55.7796 
25	 -52.8271 
26	 -33.3245 
27	 -51.8634 
28	 -49.3261 
29	 -51.2406 
30	 -44.5969 
31	 -34.6615 
32	 -42.771 
33	 -38.6594 
34	 -36.0267 
35	 -29.8203 
36	 -33.691 
37	 -28.4468 
38	 -15.307 
39	 -24.8477 
40	 -21.7794 
41	 -19.0884 
42	 -20.2452 
43	 -12.626 
44	 -14.7829 
45	 -14.418 
46	 -14.2473 
47	 -3.38532 
48	 -12.2217 
49	 -5.99791 
50	 -7.79171 
51	 -6.10382 
52	 1.80481 
53	 0.916102 
54	 73.6557 
55	 1.40816 
56	 2.11382 
57	 33.6241 
58	 3.21297 
59	 1 072 323,00 
60	 8.83908 
61	 2 672 786,00 
62	 14.9581 
63	 35.4384 
64	 15.8655 
65	 24.7142 
66	 16.9225 
67	 17.2019 
68	 26.0818 
69	 29.4342 
70	 30.7953 
71	 63.9924 
72	 38.4931 
73	 38.9942 
74	 44.7174 
75	 41.5422 
76	 44.3525 
77	 69.9814 
78	 47.0699 
79	 48.407 
80	 51.833 
81	 69.829 
82	 53.0454 
83	 53.6378 
84	 56.4464 
85	 59.1354 
86	 56.8507 
87	 64.4858 
88	 71.2301 
89	 79.842 
90	 73.2547 
91	 78.598 
92	 75.9328 
93	 97.3482 
94	 83.3647 
95	 89.0698 
96	 85.8807 
97	 86.1391 
98	 89.9603 
99	 86.575 
